Schoolid,School Name,r1617,r1718,r1819,KG2.1,E2.1,M2.1,H2.1,KG2.2,E2.2,M2.2,H2.2,KG2.3,E2.3,M2.3,H2.3,KG3.1,E3.1,M3.1,H3.1,KG3.2,E3.2,M3.2,H3.2,KG4.1,E4.1,M4.1,H4.1,KG4.2,E4.2,M4.2,H4.2,KG5.1,E5.1,M5.1,H5.1,KG5.2,E5.2,M5.2,H5.2,P6.1,P6.2,P6.3,P6.4,P6.5
162,The Indian Academy,3,3,3,4,4,4,4,4,4,4,4,3,3,4,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,2,3
163,The Indian High School,5,4,4,,,5,5,,,5,5,,,5,5,,,3,4,,,3,4,,,5,5,,,3,4,,,5,5,,,4,5,5,4,5,4,4
164,The Indian High School-Branch,3,3,3,5,5,,,5,5,,,5,5,,,3,3,,,3,4,,,4,4,,,4,3,,,5,5,,,3,3,,,3,3,5,4,3
165,The Indian International School (DSO Branch),2,2,2,4,4,4,4,4,3,3,3,4,4,4,4,3,2,3,3,3,2,2,2,4,3,3,3,3,2,2,3,4,4,4,4,3,3,3,3,2,2,3,2,3
166,The International School of Choueifat,2,2,2,2,2,3,4,2,3,3,3,2,2,3,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,2,3,3,3,3,2,2,2,2,3,2,1,1,2
167,The International School of Choueifat - Branch,2,2,2,3,3,4,4,3,3,3,3,2,2,2,2,2,2,2,3,1,1,1,2,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,2,1,1,1,2
168,The Kindergarten Starters,3,3,3,5,5,,,4,4,,,5,5,,,3,3,,,3,3,,,4,4,,,4,4,,,4,4,,,3,3,,,4,3,5,3,4
169,The Millenium School,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,5,4
170,The Philippine School,1,1,1,3,3,4,4,3,3,3,3,3,3,3,3,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,2,2
171,The School of Research Science,4,4,3,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,3,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,3,5
172,The Sheffield Private School,3,3,3,4,4,4,4,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,5,5,5,5,4,4,4,4,4,3,4,3,3
173,The Westminster School,3,3,3,5,5,5,4,5,5,5,5,4,5,5,5,3,3,3,3,3,2,2,2,3,3,3,3,4,4,4,4,3,3,3,3,4,3,3,3,3,2,4,3,3
174,The Winchester School,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,4,4
175,United International Private School,3,3,3,5,4,5,5,4,5,5,5,4,5,5,5,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,4,2,3
176,Universal American School - Branch,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3,4,4,4,4,5,4,4,4,4,4,4,3,5,5,5,5,4,4,4,3,4,4,5,4,5
